Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missour,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2004-01-01,2362.65968824261,228.375487544782,6125.353891045699,1292.0341770986802,16135.8193757724,3688.26242831562,956.699799881827,660.943736794448,10.0,18218.0291419348,8916.776191926121,940.058492593774,1046.2025067333198,4601.543808149179,3177.97326809195,1367.3427689618,920.16238296476,1585.65975147748,1408.4433783606198,679.128349279658,2364.85862110608,1802.0640765321,4218.09979890363,2914.02298641002,1150.2674436508698,2542.5121219705497,297.450595226039,789.125855615166,3995.02986445295,687.831646624454,2683.10431018593,1301.41301487554,3963.6029561505397,6895.23996359559,213.278273983844,3523.26975976591,1183.5252231832599,1906.0192033662,3205.82473237677,184.30019434002602,2540.73584581561,573.572977419372,3237.1496120153997,14011.7793908121,1779.7757051667897,313.948367460555,4957.60786278266,3449.6857760893395,401.01216865956496,3223.91169408002,273.210497124112
2004-02-01,2295.2406700102697,190.714916852399,6048.8445527636995,1052.34145067172,16223.0774072472,3365.3955043068895,867.59482867767,739.3592161328199,105.0,20102.1622389828,7908.89732778932,789.863173410188,1168.37853813093,4445.85425769461,3623.4486685444,962.728765817458,794.442427593566,1778.23065324358,1637.54582657911,577.846581324839,2003.7149941639602,1312.79660270738,4602.51013013009,3173.57906756197,1248.36157440705,2119.04949433717,241.860844577406,816.6283747916789,3815.5858251437103,843.6471193795911,2537.19680873282,1270.68263622014,4089.48674695221,6892.3231363226705,150.092261528932,4138.12539285202,1251.75460274985,1832.1315553795498,3331.4563986181797,199.00311448348597,3242.95501378326,435.72638327987,3588.5607384325704,14089.16379635,1661.8600113376901,194.084734311344,4893.4067040439395,3205.73157802957,451.31824946583396,3290.05068065642,210.088603683033
2004-03-01,3019.7976139395396,248.156023144829,7132.25948984101,1097.88614252925,17173.7830943214,4012.4302099825895,994.390832543932,783.786521799161,38.0,18662.5673258065,9188.596674096021,707.7713550781419,1445.15438943901,5524.411197439761,3338.90856666095,1402.96203314002,1130.87751109359,2047.3492289127398,1672.06150812065,739.337016890366,2113.78570541375,1570.5958273408899,4655.22303146971,3323.28767075579,1137.27563074822,2496.03043875667,240.329158289361,714.1695567381571,3277.68615136737,729.762943605863,3104.08278532814,1073.65877369199,4049.3740273963704,9229.604058568779,486.04697801295197,4641.70159100895,1379.56120752837,2132.9041673922898,6283.349083012819,194.493650548523,3401.98265619953,572.075383060314,4733.47276995193,15180.040090800401,1990.70701394066,340.610044710661,5156.85907346871,3983.6733656707597,495.38502328008695,3213.99792778288,247.925461590346
2004-04-01,2425.66444522488,282.36972793407904,7405.707854762959,1633.8303914635198,16985.6033330481,3927.08898939981,944.6994526000999,532.18674940941,727.0,20671.632076598202,8387.710040732329,707.333313645629,1289.9805886038198,4519.99773723359,3462.4138181216,1423.49486069428,1103.64506329592,1664.8474149843698,1798.7869211826398,832.148713342565,2546.83967244515,1862.5040293805603,4654.66695087877,3464.7024134632397,1034.33123483632,2322.55095937367,374.175568408952,927.692354749943,4106.058574674779,760.757335489768,3116.31135682836,1214.1555791153098,4399.7306461200105,7577.95909534641,414.66576896890297,4522.7584591661,1299.24064738798,2220.43151065642,4525.77989238535,385.818860097886,3279.59281059831,480.98843462490896,3553.83890461904,15296.327935743899,2058.37553614873,354.831705139363,5571.01051853412,3815.3627723973705,465.04211412683503,3388.20174787605,226.66265502715302
2004-05-01,2386.2748581622304,329.782850004752,6719.2560734439,1553.7643829565698,16074.646046824499,3875.0067162014293,798.9561063392889,677.534503817774,19.0,20493.9797248779,8211.01509892895,589.259723059215,1257.6943414592,4777.86651758808,3008.33526434662,1258.28935615717,962.744033292015,1960.8702605754002,1635.32572217315,734.3892163323551,1941.3551270892701,1668.21513356793,3745.70121006303,3428.30679319368,931.61503093412,2200.43531775105,260.22052798864496,949.199324584333,5067.569912061939,806.5215433260471,2660.83205210268,1028.93080102086,4671.27181906311,7527.69496204167,281.275770754446,4055.9849768988106,1165.03593395878,2235.92539517954,3740.8166423107396,184.196585232198,3577.4485385394105,455.59529221409105,3457.31803260141,15798.133028562199,1892.6067125195898,316.215129756893,4887.01013122434,3747.3122165312298,390.33366400426905,2686.9901250979997,226.76762107588002
2004-06-01,2610.76879427114,219.977634162256,6674.45012820694,1116.91233687607,17136.1430371217,3666.91909873146,989.6389841687891,787.141922388761,14.0,20774.8832963116,8085.690369834441,837.0695521912739,1506.2036339205802,5091.56123812384,3102.04869753493,1398.2009788990802,1004.39419222888,1821.4771050434802,1679.1750442744699,739.0743277116729,2176.66598692937,1641.7434366789003,3985.0996499115704,3613.6049507543,979.360947958676,2440.05294423213,267.093964401549,798.5678351288091,3610.4818322234296,696.7974687847411,2673.5625470722603,1324.72296366295,5152.96561455224,7298.34116485146,361.37968480659,4101.66725903254,1177.91255892482,2424.10286618998,4150.190696074051,178.591606721993,3362.26681035992,395.74661201889,3465.57818590473,14804.653908446498,2083.50235886898,314.138394171456,5352.54340861612,4059.5354691623497,486.529760652333,2992.3150414212605,236.51266382114898
2004-07-01,2409.71117531783,275.97051969374,9144.21633601255,1289.34840453028,16780.7218686129,3695.29733957122,968.1702248461439,740.060500915027,24.0,21616.2543695353,9493.74829688473,706.178397245686,1519.2116694432598,5215.99458622445,3142.93363701932,1238.7130848842098,1048.2120589406,1764.4196376872,1603.43629644066,607.704482407929,2241.8997119794603,1618.0379332195,4490.60370334695,3109.6271366054802,1268.1045926852198,2138.67686544243,435.089766356185,754.19209769049,3780.30525718519,715.6500987363389,2813.45863955538,983.9255384873919,4963.7689661409295,8985.010120503459,351.42530485224,3825.48832868955,1203.8248318105802,2819.5859429866305,3759.2705264509004,192.59478924602402,3708.86478195649,516.84879753502,3806.49306241877,14893.4691810097,2123.07479107295,267.237581693467,5402.08166806995,3882.75013120731,511.588797667759,3200.46501820384,365.809649302222
2004-08-01,2068.7473005502998,234.73559145086602,7199.593483399359,1342.95715249535,17605.2462729034,3696.3014945792797,1024.6567158852902,736.938771328784,164.0,18321.0823528148,8259.45134501028,677.243877360074,1320.17556211389,5258.37168396956,2911.20461611967,1314.43847394619,1022.9131632380802,2084.71914584689,1788.86365380517,594.078566689744,2469.4084088087197,1771.7080653910998,4223.530024661321,3625.46124308077,1266.04744415045,2222.94843099689,361.22789262811995,988.1894022303841,2683.4217008997102,615.654963808557,2782.5011477620897,960.023323833429,4937.76935725024,7479.873130802671,251.62683708325198,4124.0434975076505,1049.98743284837,2686.8672327601103,3134.72482041553,235.535273285254,3272.44725141332,471.638937620465,3419.15976687683,14856.791123572,2095.24685510292,213.26640732156397,4822.55829417602,3756.1280407063396,373.871043302415,3031.0008147947497,248.609876913792
2004-09-01,2524.74120439284,270.045521211194,7067.686138006321,1297.3159052229198,17834.939812447,3947.19005601623,1024.01338588503,770.662566887587,147.0,20110.4416062583,8695.81203849018,611.371925080176,1441.16487330066,5599.628264862621,3361.17650708159,1273.84920673432,1220.88790267321,1887.73285117282,1692.75408225231,706.892443174173,2520.9640262368102,1895.9580089370897,4478.6065944529,3451.18786406202,1137.79895438535,3396.26620223766,456.41598921396104,776.020965639176,3451.4110098511796,753.112749626852,3010.9907388717897,1209.16177406577,4552.8256686820205,7288.5899012769705,293.39889014430696,4522.41367117883,1434.0337458018803,2140.71049551278,3991.6496542974896,227.70372726241,3878.7102709353794,343.008710495488,3764.5274315089,15681.0865565204,2064.91690972745,293.26686428716897,6242.60381508957,4900.4976212179,482.22756055408996,3138.8553866443103,266.847365991536
2004-10-01,1854.7072780524102,205.87533294022097,7224.003473239771,1243.78889016341,17496.5853084593,3655.5055061762605,829.059893367638,744.204222578575,215.0,21678.713915407,8474.85505837162,670.196239759167,1384.69288251486,5201.24217944671,3089.5624047124497,1333.90177235342,715.932609236603,1945.72816262496,1844.8298035141397,654.088347091903,2691.86830287691,1779.4607210205302,4290.06348499132,3404.84985746885,1563.21912410379,2377.30518679463,292.258968873134,773.789840232675,2838.51303455649,641.515243322337,2476.17296292682,1157.72465752932,4549.61319721745,6870.45440094225,254.66168213817403,3970.6207144645796,1238.92670259104,2413.83229616873,2844.3678939478805,145.682603462946,3481.3519518394,479.951587623231,3551.3306044469896,14988.227920766201,1901.5304393373,255.497337836492,5173.883545277539,4067.9825136042796,403.474536833841,2977.0713367727003,197.032616435537
