Date,US Avg. Higher Edu
2006-01-01,26.2
2007-01-01,26.6
2008-01-01,26.9
2009-01-01,27.1
2010-01-01,27.5
2011-01-01,27.9
2012-01-01,28.5
2013-01-01,29.0
2014-01-01,29.3
2015-01-01,29.9
2016-01-01,30.6
2017-01-01,31.2
2018-01-01,31.8
2019-01-01,32.3
2020-01-01,34.1
2021-01-01,34.3
2022-01-01,34.9
2023-01-01,35.4
